animal_name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
aardvark,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
antelope,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
bass,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
bear,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
boar,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
buffalo,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
calf,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
carp,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
catfish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
cavy,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
cheetah,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
chicken,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
chub,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
clam,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0
crab,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,4
crayfish,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
crow,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
deer,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
dogfish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
dolphin,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
dove,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
duck,2,False,True,True,False,True,True,False,False,True,True,False,False,False,True,2
elephant,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
flamingo,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
flea,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6
frog,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
fruitbat,1,True,False,False,True,True,False,False,True,True,True,False,False,False,True,2
giraffe,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
human,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,2
gnat,6,False,False,True,False,True,False,False,False,False,True,False,False,False,False,6
goat,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
