animal_name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
aardvark,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
aardwolf,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
african_elephant,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
alligator,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
alpaca,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
antelope,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
armadillo,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
asian_elephant,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
axolotl,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
aye-aye,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
baboon,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bald_eagle,2,False,True,True,False,True,True,True,True,True,True,False,False,False,False,2
bali_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
balinese_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bass,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
bat,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
bear,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
bengal_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bilby,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
binturong,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
bison,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
black_rhinoceros,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
blue_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
boar,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bonobo,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bowhead_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
buffalo,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
calf,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
capybara,1,True,False,False,True,False,True,False,True,True,True,False,False,False,True,4
caracal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
carp,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
caspiantiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
cassowary,2,False,True,True,False,True,False,True,False,True,True,False,False,False,False,2
cat,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
catfish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
cavy,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
chameleon,3,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
cheetah,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
cheetah_lizard,3,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
chicken,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
chimpanzee,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
chinchilla,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
chipmunk,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
chub,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
civet,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
clam,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0
coati,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
common_porpoise,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
common_seal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
cow,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
crab,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,4
crayfish,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
crocodile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
crow,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
