,animal_name,Class_Name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
0,aardvark,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
1,aardwolf,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
2,african_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
3,alligator,Reptile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
4,alpaca,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
5,antelope,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
6,armadillo,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
7,asian_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
8,axolotl,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
9,aye-aye,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
10,baboon,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
11,bald_eagle,Bird,2,False,True,True,False,True,True,True,True,True,True,False,False,False,False,2
12,bali_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
13,balinese_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
14,bass,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
15,bat,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
16,bear,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
17,bengal_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
18,bilby,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
19,binturong,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
20,bison,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
21,black_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
22,blue_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
23,boar,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
24,bonobo,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
25,bowhead_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
26,buffalo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
27,calf,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
28,capybara,Mammal,1,True,False,False,True,False,True,False,True,True,True,False,False,False,True,4
29,caracal,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
30,carp,Fish,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
31,caspiantiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
32,cassowary,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,False,2
33,cat,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
34,catfish,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
35,cavy,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
36,chameleon,Reptile,3,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
37,cheetah,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
38,cheetah_lizard,Reptile,3,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
39,chicken,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
40,chimpanzee,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
41,chinchilla,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
42,chipmunk,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
43,chub,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
44,civet,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
45,clam,Invertebrate,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0
46,coati,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
47,common_porpoise,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
48,common_seal,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
49,cow,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
50,crab,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,4
51,crayfish,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
52,crocodile,Reptile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
53,crow,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
