animal_name,Class_Name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
aardvark,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
aardwolf,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
african_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
alligator,Reptile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
alpaca,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
antelope,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
armadillo,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
asian_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
axolotl,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
aye-aye,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
baboon,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bald_eagle,Bird,2,False,True,True,False,True,True,True,True,True,True,False,False,False,False,2
bali_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
balinese_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bass,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
bat,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
bear,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
bengal_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bilby,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
binturong,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
bison,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
black_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
blue_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
boar,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bonobo,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
bowhead_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
buffalo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
